epoch,class10_loss,class10_mean_absolute_error,class10_mean_squared_error,class11_loss,class11_mean_absolute_error,class11_mean_squared_error,class1_loss,class1_mean_absolute_error,class1_mean_squared_error,class2_loss,class2_mean_absolute_error,class2_mean_squared_error,class4_loss,class4_mean_absolute_error,class4_mean_squared_error,class5_loss,class5_mean_absolute_error,class5_mean_squared_error,class6_loss,class6_mean_absolute_error,class6_mean_squared_error,class7_loss,class7_mean_absolute_error,class7_mean_squared_error,class8_loss,class8_mean_absolute_error,class8_mean_squared_error,class9_loss,class9_mean_absolute_error,class9_mean_squared_error,loss,lr,val_class10_loss,val_class10_mean_absolute_error,val_class10_mean_squared_error,val_class11_loss,val_class11_mean_absolute_error,val_class11_mean_squared_error,val_class1_loss,val_class1_mean_absolute_error,val_class1_mean_squared_error,val_class2_loss,val_class2_mean_absolute_error,val_class2_mean_squared_error,val_class4_loss,val_class4_mean_absolute_error,val_class4_mean_squared_error,val_class5_loss,val_class5_mean_absolute_error,val_class5_mean_squared_error,val_class6_loss,val_class6_mean_absolute_error,val_class6_mean_squared_error,val_class7_loss,val_class7_mean_absolute_error,val_class7_mean_squared_error,val_class8_loss,val_class8_mean_absolute_error,val_class8_mean_squared_error,val_class9_loss,val_class9_mean_absolute_error,val_class9_mean_squared_error,val_loss
0,0.035788130798377095,0.13128358747810126,0.035788130798377095,0.030125241002300754,0.1138807659111917,0.030125241002300754,0.06534132021851838,0.18590951681882142,0.06534132021851838,0.07247140425629914,0.20038371366262436,0.07247140425629914,0.07378111989609897,0.20219291477650403,0.07378111989609897,0.03687057854281738,0.1376324280053377,0.03687057854281738,0.08289503638725727,0.21224940848350524,0.08289503638725727,0.052290533180348577,0.1669344105795026,0.052290533180348577,0.02639624850312248,0.10647698278352619,0.02639624850312248,0.04675192515505478,0.14824309857934714,0.04675192515505478,0.5227115384191274,0.001,0.020757029839791358,0.0933016473799944,0.020757029839791358,0.010177300841081887,0.05279936757311225,0.010177300841081887,0.06099900069832802,0.17759867012500763,0.06099900069832802,0.08059738682955503,0.21115026445686816,0.08059738682955503,0.055912936067208645,0.16871949608623982,0.055912936067208645,0.02420191065315157,0.10106176532804965,0.02420191065315157,0.05009157055895776,0.16375790116935968,0.05009157055895776,0.032374614283442495,0.13823097924888134,0.032374614283442495,0.006318706367746927,0.04367903942614794,0.006318706367746927,0.02985522879008204,0.1170210599526763,0.02985522879008204,0.37128568547964097
1,0.015567355398321525,0.0856364789493382,0.015567355398321525,0.010419477184070275,0.061311695002019405,0.010419477184070275,0.03605717474548146,0.1369548953436315,0.03605717474548146,0.04119157389784232,0.14959705159813166,0.04119157389784232,0.04553605550620705,0.16371451990678906,0.04553605550620705,0.017183299648109822,0.09368859107419848,0.017183299648109822,0.047200812777038664,0.1669349034279585,0.047200812777038664,0.028823067871853708,0.12112756168097258,0.028823067871853708,0.007044632635195739,0.05315717686526477,0.007044632635195739,0.020397907342528925,0.09277652438730001,0.020397907342528925,0.26942135715484616,0.001,0.013319760810118169,0.0650336906015873,0.013319760810118169,0.00793041556456592,0.04199285279586911,0.00793041556456592,0.052401738261803985,0.15997342959046365,0.052401738261803985,0.04781844251230359,0.15041702200472354,0.04781844251230359,0.04524828926939517,0.15181077367067336,0.04524828926939517,0.01681505013303831,0.08302887925505638,0.01681505013303831,0.04468994448706508,0.16327487564831972,0.04468994448706508,0.031863335164263845,0.1299414534419775,0.031863335164263845,0.005397420225897804,0.03989212724193931,0.005397420225897804,0.024303953192196786,0.08898659011721612,0.024303953192196786,0.2897883482426405
2,0.014224438259145244,0.07919483071379363,0.014224438259145244,0.009271881534019486,0.05289492854475975,0.009271881534019486,0.032654524915851656,0.12764475885778664,0.032654524915851656,0.03667072352906689,0.1374424295127392,0.03667072352906689,0.0424073143764399,0.1570073752179742,0.0424073143764399,0.014828018651809544,0.0853517292663455,0.014828018651809544,0.041873067271430045,0.15561109832301737,0.041873067271430045,0.024777296332642435,0.10983113972842694,0.024777296332642435,0.005543012665235438,0.04417351722158492,0.005543012665235438,0.018120007492601873,0.08305000734329224,0.018120007492601873,0.24037028474360705,0.001,0.015978773448383436,0.0698167394027114,0.015978773448383436,0.00947488076868467,0.04208698556385934,0.00947488076868467,0.03668442887905985,0.13061780285090208,0.03668442887905985,0.07963476696796715,0.21401786939799786,0.07963476696796715,0.057767679953947666,0.16608090481162072,0.057767679953947666,0.019778505558148026,0.08798953860253096,0.019778505558148026,0.04398097660951316,0.1695715231895447,0.04398097660951316,0.02569825755059719,0.10952935054153204,0.02569825755059719,0.0056812434275634585,0.0423449342250824,0.0056812434275634585,0.019388315357267857,0.08517354086041451,0.019388315357267857,0.3140678284317255
3,0.012923820995725692,0.07411806223727763,0.012923820995725692,0.00848493240494281,0.048179235009476545,0.00848493240494281,0.028620799718424676,0.11898044445365667,0.028620799718424676,0.03186588683957234,0.12653831356018783,0.03186588683957234,0.039483594977296886,0.15190947546809913,0.039483594977296886,0.013973310825414956,0.08226421094685793,0.013973310825414956,0.03939450520602986,0.15092306265607477,0.03939450520602986,0.02187624779343605,0.10110801536589861,0.02187624779343605,0.005416331293759868,0.04213629930280149,0.005416331293759868,0.015658791293855757,0.07516714172065259,0.015658791293855757,0.21769822077453135,0.001,0.01811274475895334,0.07174086023122073,0.01811274475895334,0.010521611536241836,0.042790018279105425,0.010521611536241836,0.06135510444827378,0.17100392242521048,0.06135510444827378,0.05801645264215767,0.1583441167473793,0.05801645264215767,0.0640552311586216,0.16597919914126397,0.0640552311586216,0.01956879571592435,0.08614158457517623,0.01956879571592435,0.04107796694338322,0.15365751180052759,0.04107796694338322,0.038023765612393616,0.1338156040161848,0.038023765612393616,0.005368501056102104,0.0391166130118072,0.005368501056102104,0.02862804064247757,0.09253374185413123,0.02862804064247757,0.3447282143980265
4,0.013077244368614628,0.07445577485486865,0.013077244368614628,0.008553964862017892,0.046882076589390635,0.008553964862017892,0.027390602902509272,0.11541183311864733,0.027390602902509272,0.03150889488752,0.1246837727278471,0.03150889488752,0.03870319303032011,0.1495420712530613,0.03870319303032011,0.013225841999519617,0.07966934426501393,0.013225841999519617,0.03686455111182295,0.14549329240247608,0.03686455111182295,0.019965928888879717,0.09507665664330125,0.019965928888879717,0.005069071462843567,0.039943582152947785,0.005069071462843567,0.015199739219155163,0.07284195526316763,0.015199739219155163,0.2095590329915285,0.001,0.011941747007425875,0.06992986012250185,0.011941747007425875,0.007940376451937481,0.042239591056481,0.007940376451937481,0.026919704761356116,0.1099512049779296,0.026919704761356116,0.030353894136846065,0.11866007306426764,0.030353894136846065,0.037281091442331674,0.14546881727874278,0.037281091442331674,0.01317317809164524,0.07897193833440543,0.01317317809164524,0.06784919486008585,0.1966581143885851,0.06784919486008585,0.01790682493103668,0.08645420935750008,0.01790682493103668,0.007973346525570378,0.04967385141551495,0.007973346525570378,0.014931424694135786,0.06636890036985278,0.014931424694135786,0.2362707822471857
5,0.011811848222743719,0.0705348073542118,0.011811848222743719,0.00784681855951203,0.04412387441843748,0.00784681855951203,0.02471046964870766,0.10909674601629377,0.02471046964870766,0.027638022063300013,0.11621097727119922,0.027638022063300013,0.035615406920202076,0.14459409214928745,0.035615406920202076,0.012520191476214677,0.07712267423793674,0.012520191476214677,0.03332848432729952,0.1369976554773748,0.03332848432729952,0.01818979236786254,0.08981567938625813,0.01818979236786254,0.004566492144134827,0.0376839834600687,0.004566492144134827,0.013512661222019233,0.06733412194624543,0.013512661222019233,0.18974018759280442,0.001,0.013011617423733697,0.07538824425637722,0.013011617423733697,0.00874570348521229,0.0482465325538069,0.00874570348521229,0.026749898538924753,0.10768227326124906,0.026749898538924753,0.02610039266292006,0.11284328395873308,0.02610039266292006,0.040813359586521984,0.14546783274412156,0.040813359586521984,0.01196374139515683,0.07277524277567864,0.01196374139515683,0.03494288350455463,0.149413323931396,0.03494288350455463,0.020131477218586952,0.08904976329952478,0.020131477218586952,0.004439911034423858,0.037433927077800036,0.004439911034423858,0.015831723694689572,0.07133478034287691,0.015831723694689572,0.20273070853948594
6,0.01194378520711325,0.07029419531673194,0.01194378520711325,0.007797970627900213,0.04379386964254081,0.007797970627900213,0.023312103311764077,0.10540970977023244,0.023312103311764077,0.026234433659701607,0.11285848484560847,0.026234433659701607,0.03502625047788024,0.14206637820601464,0.03502625047788024,0.011932079503079876,0.07524506399780512,0.011932079503079876,0.03300369387096726,0.13678701343014837,0.03300369387096726,0.01683564058993943,0.0859960165284574,0.01683564058993943,0.004648462709155865,0.03767528470233083,0.004648462709155865,0.01275079025235027,0.0649100323524326,0.01275079025235027,0.18348521037399768,0.001,0.011765159758622757,0.06271491431072354,0.011765159758622757,0.007492789169715252,0.037608860060572624,0.007492789169715252,0.03076375713571906,0.12332874140888453,0.03076375713571906,0.04783961348701268,0.157083874091506,0.04783961348701268,0.0411741138426587,0.14100692674517631,0.0411741138426587,0.01575543513055891,0.0792173327729106,0.01575543513055891,0.033278691603802146,0.1416458206027746,0.033278691603802146,0.01623674710933119,0.0909153553918004,0.01623674710933119,0.00444885968521703,0.0379304673075676,0.00444885968521703,0.017227629972156138,0.08011040804535151,0.017227629972156138,0.2259827966541052
7,0.011366413718147669,0.06857396735623479,0.011366413718147669,0.007490866722073406,0.042697871597483755,0.007490866722073406,0.02259924305533059,0.10340676558390259,0.02259924305533059,0.02513129475223832,0.11020645472034812,0.02513129475223832,0.033622628587763756,0.13876552356034516,0.033622628587763756,0.011711261116201058,0.07459537629783154,0.011711261116201058,0.03057901955000125,0.130787404242903,0.03057901955000125,0.015372846233192832,0.08170672720298171,0.015372846233192832,0.004359802895050962,0.03616339830122888,0.004359802895050962,0.012198630928178317,0.0627282255962491,0.012198630928178317,0.17443200778961182,0.001,0.01122145913937129,0.06585370000451803,0.01122145913937129,0.007219652182422578,0.03955841215699911,0.007219652182422578,0.027422444177791477,0.10992363730818033,0.027422444177791477,0.03439231912512332,0.1398841645270586,0.03439231912512332,0.03255199480243027,0.13556486010551452,0.03255199480243027,0.015208920242264867,0.08283627415448427,0.015208920242264867,0.04020181317534298,0.1503255599141121,0.04020181317534298,0.01832983377203345,0.08881711090356112,0.01832983377203345,0.0053918940968578685,0.03931048839911819,0.0053918940968578685,0.016647269017063083,0.07621972655504942,0.016647269017063083,0.2085876000970602
8,0.010741198278556113,0.06616431717574596,0.010741198278556113,0.00706748998130206,0.04089048862271011,0.00706748998130206,0.021051005817833358,0.0999419499449432,0.021051005817833358,0.0235428935023956,0.10652338563278317,0.0235428935023956,0.03136358778597787,0.13409214840456843,0.03136358778597787,0.011164875859161838,0.0726157479993999,0.011164875859161838,0.029077623846242205,0.1271772302389145,0.029077623846242205,0.013795281652826816,0.07716433344781398,0.013795281652826816,0.004335123494791333,0.03595893846265972,0.004335123494791333,0.011513240238185972,0.06115731127746403,0.011513240238185972,0.16365232026204468,0.001,0.01431698883837089,0.09016726254671813,0.01431698883837089,0.008643494447460398,0.053294197589159015,0.008643494447460398,0.03753372182836756,0.13279772609472273,0.03753372182836756,0.03365294687729329,0.12668825472891332,0.03365294687729329,0.04536446408927441,0.16569838601350784,0.04536446408927441,0.013836196640040726,0.08290840245038271,0.013836196640040726,0.0696218848489225,0.2165704946666956,0.0696218848489225,0.022875548019073905,0.09134196627140045,0.022875548019073905,0.006860593113582582,0.049118066947907206,0.006860593113582582,0.021262779125012458,0.07877478583157063,0.021262779125012458,0.2739686172008514
9,0.010928251924517098,0.06708360523544252,0.010928251924517098,0.007216460058989469,0.04138466166146099,0.007216460058989469,0.02045781658939086,0.09826516134664416,0.02045781658939086,0.022375686157494783,0.10379182977974415,0.022375686157494783,0.03140955160092562,0.1339579383842647,0.03140955160092562,0.01117398618371226,0.07241718358919025,0.01117398618371226,0.02829970864462666,0.12547538162767888,0.02829970864462666,0.01346028799400665,0.07584742533229291,0.01346028799400665,0.004060893632879015,0.035004620332270864,0.004060893632879015,0.011153845190652645,0.05972363077476621,0.011153845190652645,0.16053648814558982,0.001,0.012001899729249999,0.060092147780582306,0.012001899729249999,0.00796312679478433,0.036066074596717956,0.00796312679478433,0.027238313026726246,0.11379408184438944,0.027238313026726246,0.04621059827879071,0.15004454965889455,0.04621059827879071,0.039596253775525836,0.13786112712323664,0.039596253775525836,0.012994521786924451,0.07164804574102163,0.012994521786924451,0.03492141724843532,0.1325002611503005,0.03492141724843532,0.01940421153511852,0.09794440204650164,0.01940421153511852,0.004314756515203044,0.03423539387434721,0.004314756515203044,0.014308127318508923,0.06920664905756711,0.014308127318508923,0.21895322562754155
