epoch,class10_loss,class10_mean_absolute_error,class10_mean_squared_error,class11_loss,class11_mean_absolute_error,class11_mean_squared_error,class1_loss,class1_mean_absolute_error,class1_mean_squared_error,class2_loss,class2_mean_absolute_error,class2_mean_squared_error,class4_loss,class4_mean_absolute_error,class4_mean_squared_error,class5_loss,class5_mean_absolute_error,class5_mean_squared_error,class6_loss,class6_mean_absolute_error,class6_mean_squared_error,class7_loss,class7_mean_absolute_error,class7_mean_squared_error,class8_loss,class8_mean_absolute_error,class8_mean_squared_error,class9_loss,class9_mean_absolute_error,class9_mean_squared_error,loss,lr,val_class10_loss,val_class10_mean_absolute_error,val_class10_mean_squared_error,val_class11_loss,val_class11_mean_absolute_error,val_class11_mean_squared_error,val_class1_loss,val_class1_mean_absolute_error,val_class1_mean_squared_error,val_class2_loss,val_class2_mean_absolute_error,val_class2_mean_squared_error,val_class4_loss,val_class4_mean_absolute_error,val_class4_mean_squared_error,val_class5_loss,val_class5_mean_absolute_error,val_class5_mean_squared_error,val_class6_loss,val_class6_mean_absolute_error,val_class6_mean_squared_error,val_class7_loss,val_class7_mean_absolute_error,val_class7_mean_squared_error,val_class8_loss,val_class8_mean_absolute_error,val_class8_mean_squared_error,val_class9_loss,val_class9_mean_absolute_error,val_class9_mean_squared_error,val_loss
0,0.04553156413370743,0.1302597210109234,0.04553156413370743,0.0367561047449708,0.10180335560441017,0.0367561047449708,0.09958570042811334,0.2170785259604454,0.09958570042811334,0.1100408739298582,0.2356958152204752,0.1100408739298582,0.09213744038809091,0.21728788896650075,0.09213744038809091,0.05113682046812028,0.1413430266007781,0.05113682046812028,0.10606060828082263,0.23376244728267193,0.10606060828082263,0.06887520340830088,0.17998396980762482,0.06887520340830088,0.03286987966345623,0.09344714388623834,0.03286987966345623,0.06125807972997427,0.15168458596616982,0.06125807972997427,0.7042522749751806,0.001,0.021564912535250187,0.10358773178607225,0.021564912535250187,0.014692711612209678,0.0672630645185709,0.014692711612209678,0.07152810468524694,0.18707886198163032,0.07152810468524694,0.08205745484679937,0.21233290708065033,0.08205745484679937,0.07799870836362242,0.21524320729076862,0.07799870836362242,0.028727236283943056,0.11967923006415367,0.028727236283943056,0.07310379193816334,0.20855646418035031,0.07310379193816334,0.037615933323279026,0.14311043086647987,0.037615933323279026,0.010481693123932928,0.07290099458396435,0.010481693123932928,0.030782922342419625,0.11012124606221914,0.030782922342419625,0.448553470402956
1,0.018909165756544097,0.09640567799657583,0.018909165756544097,0.012015938500873744,0.06567933144792915,0.012015938500873744,0.051988140997476874,0.16578677798435093,0.051988140997476874,0.06737506084889174,0.19763942915946245,0.06737506084889174,0.05813351108506322,0.18707515960931778,0.05813351108506322,0.022216044092550874,0.10781762237846851,0.022216044092550874,0.06039049856737256,0.18927478770166636,0.06039049856737256,0.04056208330672234,0.1499486704915762,0.04056208330672234,0.008491224229568616,0.05808560873195529,0.008491224229568616,0.02904563046246767,0.10953847316280008,0.02904563046246767,0.3691272980123758,0.001,0.017497900262475014,0.08926008055359125,0.017497900262475014,0.01057509103184566,0.05224496601894498,0.01057509103184566,0.08859220428206027,0.20918466006219388,0.08859220428206027,0.07825077005848288,0.20745751942694188,0.07825077005848288,0.05924833013117314,0.18230194647610187,0.05924833013117314,0.022252541113644837,0.10715484355390072,0.022252541113644837,0.052644699083641174,0.17008895118534564,0.052644699083641174,0.050399535305798056,0.16419398292899132,0.050399535305798056,0.006219795758137479,0.04506448539718986,0.006219795758137479,0.0499400586578995,0.1349406089708209,0.0499400586578995,0.4356209266781807
2,0.01859979357942939,0.09487496683746577,0.01859979357942939,0.01194912914559245,0.06260353657603264,0.01194912914559245,0.04901816715672612,0.15821923020109535,0.04901816715672612,0.061217664344236256,0.1866246259137988,0.061217664344236256,0.057693120459094645,0.18505315178632736,0.057693120459094645,0.02106155558861792,0.10381236696988344,0.02106155558861792,0.05636849880684167,0.1826331365481019,0.05636849880684167,0.03703862888738513,0.1410211609005928,0.03703862888738513,0.007353299559326842,0.052840468768030405,0.007353299559326842,0.02722426547575742,0.1038489282131195,0.02722426547575742,0.34752412194013593,0.001,0.0168208448109217,0.08583919179439545,0.0168208448109217,0.01171876268228516,0.06153511740267277,0.01171876268228516,0.16210869508981704,0.28832767844200136,0.16210869508981704,0.1351048593148589,0.3110705093443394,0.1351048593148589,0.0704686238039285,0.20258400291204454,0.0704686238039285,0.026123121706768872,0.12096159596741199,0.026123121706768872,0.056634353807196024,0.1748596647232771,0.056634353807196024,0.08595371178910136,0.21801595714688302,0.08595371178910136,0.005884245316847228,0.04048974251374602,0.005884245316847228,0.07279497585445642,0.15654518991708755,0.07279497585445642,0.6436121926605701
3,0.01790086040319875,0.09308110083639622,0.01790086040319875,0.011347274800296873,0.05930717068910599,0.011347274800296873,0.04430684826849028,0.1494316815622151,0.04430684826849028,0.05460887331329286,0.17618570399284364,0.05460887331329286,0.053870454201474786,0.17945202934741974,0.053870454201474786,0.02034562098653987,0.1010579400844872,0.02034562098653987,0.052039742820896205,0.17464071708917617,0.052039742820896205,0.03512215897953138,0.13608409650623798,0.03512215897953138,0.006914268565131352,0.05004791113547981,0.006914268565131352,0.025165712191257624,0.09878071543574334,0.025165712191257624,0.32162181530892847,0.001,0.01720714611466974,0.09783303817361594,0.01720714611466974,0.010680414906237274,0.05857976929470897,0.010680414906237274,0.09040942736715078,0.20845280846953393,0.09040942736715078,0.109025651242584,0.24713482639193535,0.109025651242584,0.06608896624669433,0.20137413418293,0.06608896624669433,0.02060163261555135,0.10053571724891662,0.02060163261555135,0.08282798144593835,0.2273498838096857,0.08282798144593835,0.058339031755924226,0.1707809663116932,0.058339031755924226,0.007435750344768167,0.05425717377662659,0.007435750344768167,0.0530255614798516,0.14602748031914234,0.0530255614798516,0.5156415631473065
4,0.01646612213551998,0.08807835503295064,0.01646612213551998,0.01046625865122769,0.05690073342062533,0.01046625865122769,0.04341594379907474,0.1485339094661176,0.04341594379907474,0.05348182656802237,0.17472423551231622,0.05348182656802237,0.05156012183707207,0.1744578175842762,0.05156012183707207,0.01946613531000912,0.09899998110532761,0.01946613531000912,0.05171988451806828,0.17406632924452425,0.05171988451806828,0.03533999366872013,0.1371192514374852,0.03533999366872013,0.006813128104317002,0.05025462066568434,0.006813128104317002,0.024780251301359385,0.10003868680074811,0.024780251301359385,0.3135096648186445,0.001,0.021836251273285597,0.09806291022151709,0.021836251273285597,0.02077833133097738,0.07881658349186182,0.02077833133097738,0.30169007589668034,0.3882186825275421,0.30169007589668034,0.16729641521722077,0.296595217525959,0.16729641521722077,0.11315255513135344,0.2529734453782439,0.11315255513135344,0.053224435133859514,0.14266831946372985,0.053224435133859514,0.05970980536937714,0.18917558991909028,0.05970980536937714,0.11468310185149312,0.2284247431308031,0.11468310185149312,0.009687893762253225,0.06418170914053917,0.009687893762253225,0.13923636330291628,0.21282197305560113,0.13923636330291628,1.0012952279150487
5,0.016789950285805388,0.08980553150177002,0.016789950285805388,0.01058170267357491,0.057091086827218536,0.01058170267357491,0.04246547889243811,0.14581289353966714,0.04246547889243811,0.05339094612747431,0.17306521084159612,0.05339094612747431,0.05251797011587769,0.17709216593950988,0.05251797011587769,0.01985566335590556,0.09985551733151078,0.01985566335590556,0.05115536371874623,0.17291784509271382,0.05115536371874623,0.03342300551384687,0.1329437005892396,0.03342300551384687,0.006896854653954506,0.04935765796527267,0.006896854653954506,0.02321218912350014,0.09550072595104575,0.02321218912350014,0.31028912401199343,0.001,0.01870436363015324,0.0995962745025754,0.01870436363015324,0.013786116816569119,0.07374610475450755,0.013786116816569119,0.06135280733928084,0.1859040442109108,0.06135280733928084,0.09444547675177455,0.24182612946629525,0.09444547675177455,0.0656438784264028,0.21634603568911553,0.0656438784264028,0.025427550503984094,0.11845097829401494,0.025427550503984094,0.0649379450418055,0.21784878653287887,0.0649379450418055,0.054459691107273105,0.19929729062318802,0.054459691107273105,0.00954213945986703,0.06971507915109396,0.00954213945986703,0.04357943775691092,0.1413370203971863,0.04357943775691092,0.4518794067800045
6,0.01599300625291653,0.08729265599697829,0.01599300625291653,0.010118285458767787,0.05547173900343478,0.010118285458767787,0.03676525995088741,0.13556212640181184,0.03676525995088741,0.04827762441895902,0.16459345034509898,0.04827762441895902,0.049627984774298965,0.17214304453879595,0.049627984774298965,0.018285060321446507,0.09599855368211865,0.018285060321446507,0.0477279719565995,0.16738697902858257,0.0477279719565995,0.03122525192052126,0.1272094598636031,0.03122525192052126,0.006413101526792161,0.04796054879017174,0.006413101526792161,0.020544151403941214,0.08910786243900656,0.020544151403941214,0.284977699033916,0.001,0.013834722972242162,0.0696136229597032,0.013834722972242162,0.009640167648671195,0.04959126327559352,0.009640167648671195,0.04131190920993686,0.14050272395461796,0.04131190920993686,0.12894959123432637,0.30149982088804245,0.12894959123432637,0.06175149289146066,0.1795256171375513,0.06175149289146066,0.03158447903394699,0.12449991719424724,0.03158447903394699,0.10596574429795146,0.26179051522910596,0.10596574429795146,0.04963956736214459,0.16403485548496247,0.04963956736214459,0.007826070302166045,0.053411059059202674,0.007826070302166045,0.02439433800522238,0.110113077044487,0.02439433800522238,0.4748980840742588
7,0.014354952591704205,0.08145005875453352,0.014354952591704205,0.009163423949619755,0.05094218246825039,0.009163423949619755,0.03221659551165067,0.1254846898019314,0.03221659551165067,0.04080127962864935,0.1493539640009403,0.04080127962864935,0.04478715738654137,0.16364184645563365,0.04478715738654137,0.01657659617625177,0.0903059810474515,0.01657659617625177,0.04298837340530008,0.1585814063847065,0.04298837340530008,0.027865512990858404,0.11850210256874562,0.027865512990858404,0.00585583121702075,0.04407076729089022,0.00585583121702075,0.01805524181970395,0.08231934555992484,0.01805524181970395,0.25266496547311545,0.0005,0.013308813503244891,0.07241584950312972,0.013308813503244891,0.00898327678826172,0.04446172327920794,0.00898327678826172,0.03366264713834971,0.12396770981699229,0.03366264713834971,0.043741852773353455,0.15006487518548967,0.043741852773353455,0.045655750738456846,0.15867219404876232,0.045655750738456846,0.0159516241280362,0.08142952024191617,0.0159516241280362,0.07540933659486472,0.15151975191384554,0.07540933659486472,0.02982676527183503,0.11936082154512405,0.02982676527183503,0.007517797726672143,0.0449371087513864,0.007517797726672143,0.017801811621990054,0.0756625392511487,0.017801811621990054,0.2918596760481596
8,0.01459971357951872,0.08223677694797515,0.01459971357951872,0.00919665150390938,0.05089498250558972,0.00919665150390938,0.030898970599286257,0.12224522713199258,0.030898970599286257,0.03776825288683176,0.14376893156766893,0.03776825288683176,0.04367192313121632,0.1616452329531312,0.04367192313121632,0.015764589061494916,0.08869955838099122,0.015764589061494916,0.04127531292079948,0.15430820025131106,0.04127531292079948,0.02691591276973486,0.11596445933356882,0.02691591276973486,0.005564092937507667,0.04300946193374693,0.005564092937507667,0.017447853976860644,0.08050521099194884,0.017447853976860644,0.24310327330976725,0.0005,0.022035936505533756,0.1266126189082861,0.022035936505533756,0.012709804371930658,0.07532497358322143,0.012709804371930658,0.09250752689689398,0.2102027185857296,0.09250752689689398,0.06828503297641873,0.1765233416259289,0.06828503297641873,0.06214858582243323,0.2090063003450632,0.06214858582243323,0.023137255653738975,0.11418299642205239,0.023137255653738975,0.1288867818918079,0.2847047301828861,0.1288867818918079,0.04239743793942034,0.12955487899482251,0.04239743793942034,0.011669502366334199,0.07212150061875582,0.011669502366334199,0.04580548218637705,0.12317984126508236,0.04580548218637705,0.5095833469927311
9,0.013594156081555411,0.07867876134440303,0.013594156081555411,0.008833059815457091,0.04951883122697472,0.008833059815457091,0.02940726472600363,0.11980998288094998,0.02940726472600363,0.03539615198317915,0.1385393054038286,0.03539615198317915,0.041522617074660956,0.1575233633965254,0.041522617074660956,0.01487934229709208,0.08616753406077624,0.01487934229709208,0.03957655841950327,0.1506501507051289,0.03957655841950327,0.02586274598306045,0.11271575779467821,0.02586274598306045,0.005515035867574625,0.04296414780989289,0.005515035867574625,0.01640616348874755,0.07771440431848169,0.01640616348874755,0.2309930961057544,0.0005,0.012921460113488138,0.08558092711865901,0.012921460113488138,0.008151235794648527,0.051218685928732154,0.008151235794648527,0.049200916591100395,0.1477602652683854,0.049200916591100395,0.040027442483231424,0.1466526091992855,0.040027442483231424,0.04847351701743901,0.17820689129829406,0.04847351701743901,0.015570155738387256,0.09394919762760401,0.015570155738387256,0.0586053882651031,0.16874843592196703,0.0586053882651031,0.03446660844422877,0.12186973670125008,0.03446660844422877,0.00636605453141965,0.045410443045198916,0.00636605453141965,0.02547690138593316,0.08830954705178738,0.02547690138593316,0.2992596797645092
